beta,c_max,k_c,f0,k_f,sse,peak,late_mean
0.07,450.0,0.015,0.1,0.15,4784.601346707887,110.7014020424721,109.47303949543495
0.06,300.0,0.015,0.12,0.15,4784.929789461071,111.2254881582924,110.05859267969734
0.07,400.0,0.01,0.1,0.25,4785.156738423225,108.01391581813023,106.92192948063524
0.07,350.0,0.015,0.12,0.25,4785.911534466331,114.00238773632671,112.6934465688963
0.07,450.0,0.02,0.12,0.25,4795.154878408008,113.11773054349638,111.75357626843332
0.06,450.0,0.015,0.12,0.1,4799.014966474584,109.19555284578217,108.13725802308981
0.05,350.0,0.015,0.15,0.1,4817.244642512244,108.0660038129867,107.11891190567815
0.05,350.0,0.01,0.15,0.1,4819.3914078709095,106.36770722083645,105.53431066256859
0.07,450.0,0.005,0.1,0.15,4828.620597487434,103.81548830660459,103.0864342605062
0.06,300.0,0.015,0.12,0.2,4832.704368534915,110.15735374343518,108.98852280211116
0.07,400.0,0.015,0.1,0.2,4837.200872963516,111.29317188989205,110.02174624670413
0.06,350.0,0.02,0.15,0.15,4840.06594226541,114.1026880124528,112.88426528627463
0.05,300.0,0.02,0.15,0.1,4844.803482887319,110.38171779313686,109.33945437783734
0.07,400.0,0.015,0.1,0.15,4848.16524564397,112.30780012128123,111.03948782246559
0.07,400.0,0.015,0.12,0.15,4859.195602691709,114.33693483933598,113.07530046767941
0.07,450.0,0.02,0.12,0.2,4862.809275789817,113.85097161799933,112.48859245843518
0.06,400.0,0.015,0.15,0.1,4864.575257479958,113.81893945548133,112.73440799666653
0.05,350.0,0.02,0.15,0.1,4870.794686202849,109.38174123188502,108.35921552085765
0.07,300.0,0.01,0.1,0.15,4873.028342006013,113.48469302565233,112.27684896809633
